time,ICR,pctl_5y,pctl_10y,zscore_level,delta_4q,delta_delta,slope_4q,delta_zscore,consecutive_declines
2012-02-29,4.475257667023593,60.0,55.00000000000001,-0.2008896008948581,-0.1320746446585952,-0.26367856340301543,0.03341264161860371,-0.2313487814232116,1.0
2012-03-31,4.475257667023593,60.0,55.00000000000001,-0.2008896008948581,-0.1320746446585952,-0.26367856340301543,0.03341264161860371,-0.2313487814232116,1.0
2012-04-30,4.506048380445933,65.0,55.00000000000001,-0.23072448820521985,0.05099664391662806,0.18307128857522326,0.05712758018412311,-0.11293016134259912,0.0
2012-05-31,4.506048380445933,65.0,55.00000000000001,-0.23072448820521985,0.05099664391662806,0.18307128857522326,0.05712758018412311,-0.11293016134259912,0.0
2012-06-30,4.506048380445933,65.0,55.00000000000001,-0.23072448820521985,0.05099664391662806,0.18307128857522326,0.05712758018412311,-0.11293016134259912,0.0
2012-07-31,5.240138250350516,90.0,67.5,0.2156386966391787,0.952983654896272,0.901987010979644,0.20692158040016184,0.5406060409746282,0.0
2012-08-31,5.240138250350516,90.0,67.5,0.2156386966391787,0.952983654896272,0.901987010979644,0.20692158040016184,0.5406060409746282,0.0
2012-09-30,5.240138250350516,90.0,67.5,0.2156386966391787,0.952983654896272,0.901987010979644,0.20692158040016184,0.5406060409746282,0.0
2012-10-31,5.1637981292428865,90.0,65.0,0.12415625144278995,0.6031349090854645,-0.3498487458108075,0.2799711256562453,0.2663120093373734,1.0
2012-11-30,5.1637981292428865,90.0,65.0,0.12415625144278995,0.6031349090854645,-0.3498487458108075,0.2799711256562453,0.2663120093373734,1.0
2012-12-31,5.1637981292428865,90.0,65.0,0.12415625144278995,0.6031349090854645,-0.3498487458108075,0.2799711256562453,0.2663120093373734,1.0
2013-01-31,5.150738699293362,90.0,62.5,0.07881569103898821,0.6754810322697695,0.072346123184305,0.18577308354346547,0.31871704203804035,2.0
2013-02-28,5.150738699293362,90.0,62.5,0.07881569103898821,0.6754810322697695,0.072346123184305,0.18577308354346547,0.31871704203804035,2.0
