as_of_date,V5_TDSP,zscore_level,pctl_5y,pctl_10y,delta_4q,delta_8q,delta_4q_zscore,delta_8q_zscore,yoy_pct
2012-01-31,12.749684,-0.9289086734064211,0.0,32.5,-0.8311790000000006,-2.146701,-0.8616925016157997,-1.5324655040765751,-6.120222256862473
2012-02-29,12.749684,-0.9289086734064211,0.0,32.5,-0.8311790000000006,-2.146701,-0.8616925016157997,-1.5324655040765751,-6.120222256862473
2012-03-31,12.749684,-0.9289086734064211,0.0,32.5,-0.8311790000000006,-2.146701,-0.8616925016157997,-1.5324655040765751,-6.120222256862473
2012-04-30,12.237059,-1.2832418759898743,0.0,10.0,-1.0714009999999998,-2.277880999999999,-1.0460283277150904,-1.5199868920114348,-8.050525755797445
2012-05-31,12.237059,-1.2832418759898743,0.0,10.0,-1.0714009999999998,-2.277880999999999,-1.0460283277150904,-1.5199868920114348,-8.050525755797445
2012-06-30,12.237059,-1.2832418759898743,0.0,10.0,-1.0714009999999998,-2.277880999999999,-1.0460283277150904,-1.5199868920114348,-8.050525755797445
2012-07-31,12.034065,-1.410094373162936,0.0,0.0,-1.0236409999999996,-2.03571,-0.9648225681574589,-1.3019604620682883,-7.839363208208239
2012-08-31,12.034065,-1.410094373162936,0.0,0.0,-1.0236409999999996,-2.03571,-0.9648225681574589,-1.3019604620682883,-7.839363208208239
2012-09-30,12.034065,-1.410094373162936,0.0,0.0,-1.0236409999999996,-2.03571,-0.9648225681574589,-1.3019604620682883,-7.839363208208239
2012-10-31,12.083107,-1.3615088091035783,5.0,2.5,-0.8614899999999999,-1.8346999999999998,-0.7847876426448563,-1.127992355450984,-6.655209119295103
2012-11-30,12.083107,-1.3615088091035783,5.0,2.5,-0.8614899999999999,-1.8346999999999998,-0.7847876426448563,-1.127992355450984,-6.655209119295103
2012-12-31,12.083107,-1.3615088091035783,5.0,2.5,-0.8614899999999999,-1.8346999999999998,-0.7847876426448563,-1.127992355450984,-6.655209119295103
2013-01-31,11.754033,-1.5583339447082225,0.0,0.0,-0.9956510000000005,-1.826830000000001,-0.886322784438236,-1.0758864493880418,-7.809220997163546
2013-02-28,11.754033,-1.5583339447082225,0.0,0.0,-0.9956510000000005,-1.826830000000001,-0.886322784438236,-1.0758864493880418,-7.809220997163546
2013-03-31,11.754033,-1.5583339447082225,0.0,0.0,-0.9956510000000005,-1.826830000000001,-0.886322784438236,-1.0758864493880418,-7.809220997163546
2013-04-30,12.006598,-1.3679679376396399,5.0,2.5,-0.23046100000000003,-1.3018619999999999,-0.1767158544069133,-0.7441778164724955,-1.8833038232470733
2013-05-31,12.006598,-1.3679679376396399,5.0,2.5,-0.23046100000000003,-1.3018619999999999,-0.1767158544069133,-0.7441778164724955,-1.8833038232470733
2013-06-30,12.006598,-1.3679679376396399,5.0,2.5,-0.23046100000000003,-1.3018619999999999,-0.1767158544069133,-0.7441778164724955,-1.8833038232470733
2013-07-31,11.794391,-1.4866532883001704,5.0,2.5,-0.23967400000000083,-1.2633150000000004,-0.18106198677372135,-0.7004600029732955,-1.9916295948210427
2013-08-31,11.794391,-1.4866532883001704,5.0,2.5,-0.23967400000000083,-1.2633150000000004,-0.18106198677372135,-0.7004600029732955,-1.9916295948210427
2013-09-30,11.794391,-1.4866532883001704,5.0,2.5,-0.23967400000000083,-1.2633150000000004,-0.18106198677372135,-0.7004600029732955,-1.9916295948210427
2013-10-31,11.837713,-1.4419590095098762,10.0,5.0,-0.24539399999999922,-1.106883999999999,-0.18596319455355811,-0.5949534114887473,-2.0308849371275084
2013-11-30,11.837713,-1.4419590095098762,10.0,5.0,-0.24539399999999922,-1.106883999999999,-0.18596319455355811,-0.5949534114887473,-2.0308849371275084
2013-12-31,11.837713,-1.4419590095098762,10.0,5.0,-0.24539399999999922,-1.106883999999999,-0.18596319455355811,-0.5949534114887473,-2.0308849371275084
2014-01-31,11.985283,-1.3326482447833257,15.0,7.5,0.23125000000000107,-0.7644009999999994,0.24532778283544932,-0.3949578606320095,1.9674098243556148
2014-02-28,11.985283,-1.3326482447833257,15.0,7.5,0.23125000000000107,-0.7644009999999994,0.24532778283544932,-0.3949578606320095,1.9674098243556148
2014-03-31,11.985283,-1.3326482447833257,15.0,7.5,0.23125000000000107,-0.7644009999999994,0.24532778283544932,-0.3949578606320095,1.9674098243556148
2014-04-30,11.883752,-1.3845326247077172,15.0,7.5,-0.1228460000000009,-0.3533070000000009,-0.08147047292200017,-0.15926447935061278,-1.0231541024360191
2014-05-31,11.883752,-1.3845326247077172,15.0,7.5,-0.1228460000000009,-0.3533070000000009,-0.08147047292200017,-0.15926447935061278,-1.0231541024360191
2014-06-30,11.883752,-1.3845326247077172,15.0,7.5,-0.1228460000000009,-0.3533070000000009,-0.08147047292200017,-0.15926447935061278,-1.0231541024360191
2014-07-31,11.62113,-1.5303179597710195,0.0,0.0,-0.17326099999999833,-0.41293499999999916,-0.12723192741238623,-0.19017299991887351,-1.4690118379151462
2014-08-31,11.62113,-1.5303179597710195,0.0,0.0,-0.17326099999999833,-0.41293499999999916,-0.12723192741238623,-0.19017299991887351,-1.4690118379151462
2014-09-30,11.62113,-1.5303179597710195,0.0,0.0,-0.17326099999999833,-0.41293499999999916,-0.12723192741238623,-0.19017299991887351,-1.4690118379151462
2014-10-31,11.646935,-1.483113829618392,5.0,2.5,-0.19077800000000167,-0.4361720000000009,-0.13604254244752512,-0.19853342850990324,-1.6116119726842681
2014-11-30,11.646935,-1.483113829618392,5.0,2.5,-0.19077800000000167,-0.4361720000000009,-0.13604254244752512,-0.19853342850990324,-1.6116119726842681
2014-12-31,11.646935,-1.483113829618392,5.0,2.5,-0.19077800000000167,-0.4361720000000009,-0.13604254244752512,-0.19853342850990324,-1.6116119726842681
2015-01-31,11.631979,-1.462544792144079,5.0,2.5,-0.3533040000000014,-0.12205400000000033,-0.27606829360619856,-0.019109944232987154,-2.947815249752561
2015-02-28,11.631979,-1.462544792144079,5.0,2.5,-0.3533040000000014,-0.12205400000000033,-0.27606829360619856,-0.019109944232987154,-2.947815249752561
2015-03-31,11.631979,-1.462544792144079,5.0,2.5,-0.3533040000000014,-0.12205400000000033,-0.27606829360619856,-0.019109944232987154,-2.947815249752561
2015-04-30,11.556607,-1.4251333348509712,0.0,0.0,-0.3271449999999998,-0.4499910000000007,-0.20114859847850963,-0.16907613033548466,-2.752876364299761
2015-05-31,11.556607,-1.4251333348509712,0.0,0.0,-0.3271449999999998,-0.4499910000000007,-0.20114859847850963,-0.16907613033548466,-2.752876364299761
2015-06-30,11.556607,-1.4251333348509712,0.0,0.0,-0.3271449999999998,-0.4499910000000007,-0.20114859847850963,-0.16907613033548466,-2.752876364299761
2015-07-31,11.485107,-1.387991337800656,0.0,0.0,-0.13602300000000156,-0.3092839999999999,0.06789375658161373,-0.04691528782648202,-1.1704799791414588
2015-08-31,11.485107,-1.387991337800656,0.0,0.0,-0.13602300000000156,-0.3092839999999999,0.06789375658161373,-0.04691528782648202,-1.1704799791414588
2015-09-30,11.485107,-1.387991337800656,0.0,0.0,-0.13602300000000156,-0.3092839999999999,0.06789375658161373,-0.04691528782648202,-1.1704799791414588
2015-10-31,11.606456,-1.245942896386305,10.0,5.0,-0.04047899999999949,-0.23125700000000116,0.30936401747289866,0.051651996145819584,-0.34755066461691353
2015-11-30,11.606456,-1.245942896386305,10.0,5.0,-0.04047899999999949,-0.23125700000000116,0.30936401747289866,0.051651996145819584,-0.34755066461691353
2015-12-31,11.606456,-1.245942896386305,10.0,5.0,-0.04047899999999949,-0.23125700000000116,0.30936401747289866,0.051651996145819584,-0.34755066461691353
