as_of_date,V2_Ratio,zscore_level,pctl_5y,pctl_10y,delta_12m,delta_24m,delta_12m_zscore,delta_24m_zscore,yoy_pct
2015-07-31,40.834955793049424,1.4337850838482162,95.0,97.5,1.6780777492922496,4.699347366372386,0.15384583293817916,0.3561154256456527,4.285524876158475
2015-08-28,40.834955793049424,1.4211250485626643,93.33333333333333,96.66666666666667,1.6780777492922496,4.699347366372386,0.15445275275415693,0.35573373235398625,4.285524876158475
2015-09-30,40.834955793049424,1.4086775856203666,91.66666666666666,95.83333333333334,1.6780777492922496,4.699347366372386,0.15505986569388186,0.35535217332001967,4.285524876158475
2015-10-30,41.155549687247095,1.4352613068336175,100.0,100.0,0.917936279860406,3.8916311242105124,0.05639869561887632,0.276695327650316,2.281289077875326
2015-11-30,41.155549687247095,1.4216704757546552,98.33333333333333,99.16666666666667,0.917936279860406,3.8916311242105124,0.05708528102996,0.27565086736872607,2.281289077875326
2015-12-30,41.155549687247095,1.4083231987530016,96.66666666666667,98.33333333333333,0.917936279860406,3.8916311242105124,0.05777198625211807,0.27460713852135,2.281289077875326
2016-01-31,41.046181874806244,1.382748550799352,95.0,97.5,1.0474038995102362,2.290241941452514,0.07477205204219399,0.12136970275635017,2.618589748309641
2016-02-29,41.046181874806244,1.3709176634267115,93.33333333333333,96.66666666666667,1.0474038995102362,2.290241941452514,0.07484777198126855,0.12190680592909281,2.618589748309641
2016-03-30,41.046181874806244,1.359274185618986,91.66666666666666,95.83333333333334,1.0474038995102362,2.290241941452514,0.07492349326294236,0.12244403177910586,2.618589748309641
2016-04-30,41.219933215999546,1.3700104651706893,100.0,100.0,0.25066150683131383,1.6988714889155219,-0.0283131136563032,0.06749164804496628,0.6118280759558115
2016-05-30,41.219933215999546,1.3596991256071866,98.33333333333333,99.16666666666667,0.25066150683131383,1.6988714889155219,-0.027395560206423763,0.06934131267751142,0.6118280759558115
2016-06-30,41.219933215999546,1.3495317335223511,96.66666666666667,98.33333333333333,0.25066150683131383,1.6988714889155219,-0.02647798299751346,0.0711924391404188,0.6118280759558115
2016-07-31,40.99906236711461,1.3048125768350074,85.0,92.5,0.1641065740651868,1.8421843233574364,-0.04267574697528546,0.08189112947245715,0.4018776826816506
2016-08-29,40.99906236711461,1.2870838146802432,83.33333333333334,91.66666666666666,0.1641065740651868,1.8421843233574364,-0.0475746609320043,0.078809982438308,0.4018776826816506
2016-09-30,40.99906236711461,1.2697517396056623,81.66666666666667,90.83333333333333,0.1641065740651868,1.8421843233574364,-0.05249094715074762,0.07572753161933504,0.4018776826816506
2016-10-30,41.270427032055835,1.2842022668708428,100.0,100.0,0.11487734480873968,1.0328136246691457,-0.06337505222143222,-0.004835823588125048,0.2791296573165125
2016-11-30,41.270427032055835,1.2670534766643906,98.33333333333333,99.16666666666667,0.11487734480873968,1.0328136246691457,-0.06780549194041227,-0.007508017465832236,0.2791296573165125
2016-12-30,41.270427032055835,1.2502767543357078,96.66666666666667,98.33333333333333,0.11487734480873968,1.0328136246691457,-0.07225010813999523,-0.010182681254704087,0.2791296573165125
2017-01-31,41.410440069994586,1.2489554695094958,100.0,100.0,0.36425819518834146,1.4116620946985776,-0.04500795093700253,0.02233646573974465,0.887435026963912
2017-02-28,41.410440069994586,1.231837471808485,98.33333333333333,99.16666666666667,0.36425819518834146,1.4116620946985776,-0.05069443986769443,0.01833967064670816,0.887435026963912
2017-03-30,41.410440069994586,1.2150863329475576,96.66666666666667,98.33333333333333,0.36425819518834146,1.4116620946985776,-0.05640757178106911,0.014335973037968967,0.887435026963912
2017-04-30,41.28087811369463,1.1851715057919974,95.0,97.5,0.06094489769508016,0.311606404526394,-0.10221182021958826,-0.0952227807460325,0.14785297534500863
2017-05-30,41.28087811369463,1.1702391080456596,93.33333333333333,96.66666666666667,0.06094489769508016,0.311606404526394,-0.1077662815435246,-0.09849288360153817,0.14785297534500863
2017-06-30,41.28087811369463,1.1555893872034395,91.66666666666666,95.83333333333334,0.06094489769508016,0.311606404526394,-0.11334991627141602,-0.10177015807990178,0.14785297534500863
2017-07-31,40.915207383760574,1.1010831352686765,60.0,80.0,-0.08385498335403696,0.08025159071114984,-0.1325069681098515,-0.1277565296295135,-0.20452902703769205
2017-08-28,40.915207383760574,1.0875698030238063,58.333333333333336,79.16666666666666,-0.08385498335403696,0.08025159071114984,-0.1323039329557119,-0.1313355942988383,-0.20452902703769205
2017-09-30,40.915207383760574,1.0742854659920527,56.666666666666664,78.33333333333333,-0.08385498335403696,0.08025159071114984,-0.13210091305048616,-0.13492475899888376,-0.20452902703769205
2017-10-30,40.66315618649467,1.0343331100814008,50.0,75.0,-0.6072708455611675,-0.4923935007524278,-0.20136546875373545,-0.19349281622003076,-1.471443087054769
2017-11-30,40.66315618649467,1.022245750085685,48.333333333333336,74.16666666666667,-0.6072708455611675,-0.4923935007524278,-0.20065338055919857,-0.1963880819771062,-1.471443087054769
2017-12-30,40.66315618649467,1.0103406048941168,46.666666666666664,73.33333333333333,-0.6072708455611675,-0.4923935007524278,-0.1999415488228606,-0.19929066437909151,-1.471443087054769
2018-01-31,40.81510329908215,1.0148068046005194,50.0,75.0,-0.5953367709124322,-0.23107857572409074,-0.19694733580239454,-0.17712508720546433,-1.4376489839425854
2018-02-28,40.81510329908215,1.0029855805180838,48.333333333333336,74.16666666666667,-0.5953367709124322,-0.23107857572409074,-0.19554891028287524,-0.1804519303401557,-1.4376489839425854
2018-03-30,40.81510329908215,0.9913376099542921,46.666666666666664,73.33333333333333,-0.5953367709124322,-0.23107857572409074,-0.19415129588015545,-0.18378850772213867,-1.4376489839425854
2018-04-30,41.315847260883416,1.0335184621394242,95.0,97.5,0.03496914718878941,0.09591404488386956,-0.10875914668092648,-0.154983660549948,0.08471027939978004
2018-05-30,41.315847260883416,1.0222840390017656,93.33333333333333,96.66666666666667,0.03496914718878941,0.09591404488386956,-0.1075667335877265,-0.15818499542029793,0.08471027939978004
2018-06-30,41.315847260883416,1.0112101962598783,91.66666666666666,95.83333333333334,0.03496914718878941,0.09591404488386956,-0.10637457737866604,-0.16139467194476273,0.08471027939978004
2018-07-31,40.61482400146452,0.9289886638883594,35.0,67.5,-0.30038338229605444,-0.3842383656500914,-0.14794449642744675,-0.2059668099406842,-0.7341607228789848
2018-08-28,40.61482400146452,0.9209119688524918,33.33333333333333,66.66666666666666,-0.30038338229605444,-0.3842383656500914,-0.14472284531834176,-0.20340890153171137,-0.7341607228789848
2018-09-30,40.61482400146452,0.9129197340039948,31.666666666666664,65.83333333333333,-0.30038338229605444,-0.3842383656500914,-0.14150168113450992,-0.20085298299176108,-0.7341607228789848
2018-10-30,40.44608796242405,0.8866272669775681,30.0,65.0,-0.21706822407061566,-0.8243390696317832,-0.12850440778696703,-0.24210462784893055,-0.5338204026147597
2018-11-30,40.44608796242405,0.8780837262146595,28.333333333333332,64.16666666666667,-0.21706822407061566,-0.8243390696317832,-0.12664117187369428,-0.24017498356193864,-0.5338204026147597
2018-12-30,40.44608796242405,0.8696308074252105,26.666666666666668,63.33333333333333,-0.21706822407061566,-0.8243390696317832,-0.12477848291751889,-0.23824713185776217,-0.5338204026147597
2019-01-31,40.94109622151703,0.9123446287619033,55.00000000000001,77.5,0.12599292243487525,-0.46934384847755695,-0.07680023226738271,-0.200836094585251,0.30869191120657113
2019-02-28,40.94109622151703,0.903839474053005,53.333333333333336,76.66666666666667,0.12599292243487525,-0.46934384847755695,-0.07466126356228975,-0.1982341033439423,0.30869191120657113
2019-03-30,40.94109622151703,0.8954259478642779,51.66666666666667,75.83333333333333,0.12599292243487525,-0.46934384847755695,-0.07252214092898841,-0.19563403247645597,0.30869191120657113
2019-04-30,41.223235581789716,0.9096604572689844,80.0,90.0,-0.09261167909370016,-0.057642531904910754,-0.11094103473251649,-0.1611432874526921,-0.22415534288554584
2019-05-30,41.223235581789716,0.8951377184178894,78.33333333333333,89.16666666666667,-0.09261167909370016,-0.057642531904910754,-0.12025351513779084,-0.1670430304915289,-0.22415534288554584
2019-06-30,41.223235581789716,0.8808135388497631,76.66666666666667,88.33333333333333,-0.09261167909370016,-0.057642531904910754,-0.12968446398294672,-0.1729813184950545,-0.22415534288554584
2019-07-31,40.33324450422239,0.7767815412500103,15.0,57.49999999999999,-0.2815794972421273,-0.5819628795381817,-0.16761956167890213,-0.23092668893518498,-0.6932924225695913
2019-08-28,40.33324450422239,0.7638459665148656,13.333333333333334,56.666666666666664,-0.2815794972421273,-0.5819628795381817,-0.18012756881343575,-0.23710899029814833,-0.6932924225695913
2019-09-30,40.33324450422239,0.7510351283183314,11.666666666666666,55.833333333333336,-0.2815794972421273,-0.5819628795381817,-0.1929075267290241,-0.24333941890045666,-0.6932924225695913
2019-10-30,41.06402070758918,0.8119640016865755,65.0,82.5,0.6179327451651275,0.40086452109451187,-0.07958129446330173,-0.1528156781043975,1.5277936045117846
