,SPX,V1_raw,V1_pctl_5y,V1_pctl_10y,V1_delta_4q,V1_delta_zscore
2008-06-30,1280.0,33.3023096263,100.0,57.49999999999999,2.9814335523000004,1.7868876267452578
2008-07-31,1267.38,33.3023096263,100.0,57.49999999999999,2.9814335523000004,1.7868876267452578
2008-08-31,1282.83,33.3023096263,100.0,57.49999999999999,2.9814335523000004,1.7868876267452578
2008-09-30,1166.36,33.1187223741,95.0,57.49999999999999,2.081989487300003,1.2958031817692406
2008-10-31,968.75,33.1187223741,95.0,57.49999999999999,2.081989487300003,1.2958031817692406
2008-11-30,896.24,33.1187223741,95.0,57.49999999999999,2.081989487300003,1.2958031817692406
2008-12-31,903.25,33.7452483709,100.0,65.0,1.7221389067000032,1.1010581708174203
2009-01-31,825.88,33.7452483709,100.0,65.0,1.7221389067000032,1.1010581708174203
2009-02-28,735.09,33.7452483709,100.0,65.0,1.7221389067000032,1.1010581708174203
2009-03-31,797.87,33.5120249934,95.0,65.0,0.713435261699999,0.6215905020482015
2009-04-30,872.81,33.5120249934,95.0,65.0,0.713435261699999,0.6215905020482015
2009-05-31,919.14,33.5120249934,95.0,65.0,0.713435261699999,0.6215905020482015
2009-06-30,919.32,31.4560307497,70.0,47.5,-1.8462788766000031,-0.5396928961898997
2009-07-31,987.48,31.4560307497,70.0,47.5,-1.8462788766000031,-0.5396928961898997
2009-08-31,1020.62,31.4560307497,70.0,47.5,-1.8462788766000031,-0.5396928961898997
2009-09-30,1057.08,30.061621905,55.00000000000001,37.5,-3.0571004691000034,-1.0517174944235574
2009-10-31,1036.19,30.061621905,55.00000000000001,37.5,-3.0571004691000034,-1.0517174944235574
2009-11-30,1095.63,30.061621905,55.00000000000001,37.5,-3.0571004691000034,-1.0517174944235574
2009-12-31,1115.1,28.8514119118,5.0,10.0,-4.893836459100001,-1.771816156298583
2010-01-31,1073.87,28.8514119118,5.0,10.0,-4.893836459100001,-1.771816156298583
2010-02-28,1104.49,28.8514119118,5.0,10.0,-4.893836459100001,-1.771816156298583
2010-03-31,1169.43,27.0224538983,0.0,0.0,-6.489571095099997,-2.248486482386861
2010-04-30,1186.68,27.0224538983,0.0,0.0,-6.489571095099997,-2.248486482386861
2010-05-31,1089.41,27.0224538983,0.0,0.0,-6.489571095099997,-2.248486482386861
