date,ig_oas_raw,us_10y,ig_spread_pctl_1y,ig_spread_pctl_5y,ig_spread_zscore_3m,ig_spread_zscore_1y,ig_spread_zscore_3y,ig_spread_delta_zscore_3m,ig_spread_delta_zscore_1y
2000-09-08,1.72,5.73,91.23505976095618,96.61538461538461,1.481195641335916,1.265480515940481,1.863289365464928,-0.9611291414087713,0.45625820886873325
2000-09-11,1.72,5.77,90.83665338645417,96.51639344262296,1.4555344171260596,1.2549025280549284,1.857314931139319,-0.9412079563037345,0.45321603643155073
2000-09-12,1.71,5.78,84.86055776892431,94.98464687819856,0.8575644704324602,1.202331804683297,1.8194975277972392,-0.9119617864988085,0.45424594460994894
2000-09-13,1.71,5.74,84.4621513944223,94.88752556237219,0.8439072492972949,1.192483869312578,1.8137528759560906,-0.8949017884645918,0.45122848888949285
2000-09-14,1.72,5.79,90.43824701195219,96.42492339121553,1.3736485577681037,1.224750398769527,1.8397507197875185,-0.7846115409518202,0.6235749177434653
2000-09-15,1.7,5.84,81.27490039840637,94.08163265306122,0.22604161898523856,1.1307470038290328,1.7702570365797063,-0.8543999795923212,0.5561788715937959
2000-09-18,1.7,5.88,80.87649402390437,93.98572884811416,0.2093189907184693,1.12169211068693,1.7647744495104871,-0.7885285935242836,0.6245964368891448
2000-09-19,1.69,5.86,72.90836653386454,91.95519348268839,-0.3640330273364988,1.07092590364271,1.7276173851138878,-0.8686598925750031,0.2305392985246837
2000-09-20,1.68,5.91,65.73705179282868,90.1322482197355,-0.9373850453914542,1.020483493765836,1.6906995173550545,-0.845884104382046,0.4119479320208248
2000-09-21,1.68,5.88,65.33864541832669,90.04065040650406,-0.9227865545086038,1.012381921662794,1.6857049667537711,-0.8840535251251089,0.4809665603404538
2000-09-22,1.69,5.85,72.50996015936255,91.87817258883248,-0.35283015319446986,1.0462499693352998,1.7123592416288966,-0.8290126202009236,0.4738278137242724
2000-09-25,1.67,5.84,62.94820717131474,89.4523326572008,-1.4504826960652766,0.9541235335143597,1.6438687274228583,-0.9004718863878783,0.4791506800742673
